starId,movieId
nm9429138,AC6
nm9429125,AC6
nm9429836,AC7
nm9428915,AC7
nm9426199,AC8
nm9427132,AC8
nm9427763,AC8
nm9423617,AC8
nm9426646,AC8
nm9427572,AC9
nm9424373,AC9
nm9427318,AC9
nm9430043,AC9
nm9423685,AC9
nm9427880,AC9
nm9430044,AC9
nm9430045,AC9
nm9426843,AC20
nm9425901,AC20
nm9430046,AC20
nm9427391,AC20
nm9425678,AC20
nm9423937,AC20
nm9430047,AC20
nm9425234,AC20
nm9423409,ACa40
nm9423170,ACa40
nm9426634,ACa40
nm9428820,ACa40
nm9429204,ACa40
nm9426176,ACa40
nm9428365,ACa40
nm9426792,ACa40
nm9425173,ACa40
nm9425001,ACa40
nm9430048,ACa50
nm9424446,ACa50
nm9427275,ACa50
nm9430049,ACa50
nm9430050,ACa50
nm9426963,ACa50
nm9426000,ACa50
nm9429416,ACa50
nm9429824,ACa50
nm9427288,ACa50
nm9430051,ACa50
nm9428177,ACa50
nm9429636,ACa50
nm9428257,ACa50
nm9428101,ACa50
nm9429416,ACa50
nm9430052,ACa50
nm9423702,ACa60
nm9425675,ACa60
nm9424782,ACa60
nm9429268,ACa60
nm9425927,ACa60
nm9426000,ACa60
nm9423387,ACa60
nm9425106,ACa60
nm9424290,ACa60
nm9430053,ACa60
nm9430054,ACa60
nm9430055,ACf10
nm9430056,ACf10
nm9429379,ACf10
nm9430057,ACf10
nm9430058,AcG10
nm9427155,ACj110
nm9430059,ACj110
nm9430060,ACj110
nm9430061,ACj110
nm9430062,ACj110
nm9430063,ACj110
nm9430064,ACj110
nm9430065,ACj110
nm9426791,ACj111
nm9424770,ACj111
nm9430066,ACj111
nm9430067,ACj111
nm9430068,ACj111
nm9425870,ACj112
nm9423275,ACj112
nm9423973,ACj112
nm9429315,ACj113
nm9430069,ACj113
nm9430070,ACj113
nm9430071,ACj113
nm9430072,ACj113
nm9430073,ACj113
nm9429121,ACj113
nm9425210,ACj113
nm9430074,ACj114
nm9428630,ACj114
nm9430075,ACj114
nm9430076,ACj114
nm9424275,ACj114
nm9424980,ACj115
nm9425731,ACj115
nm9430077,ACj115
nm9430078,ACj115
nm9430079,ACj115
nm9430080,ACj115
nm9430081,ACj115
nm9430082,ACj115
nm9430083,ACj115
nm9430084,ACj116
nm9430085,ACj117
nm9430086,ACj117
nm9430087,ACj117
nm9425133,ACj118
nm9425482,ACj118
nm9430088,ACj118
nm9425178,ACj119
nm9430089,ACj119
nm9430090,ACj119
nm9430091,ACj120
nm9430092,ACj120
nm9428253,ACj121
nm9424275,ACj121
nm9430093,ACj121
nm9430094,ACj121
nm9430095,ACj121
nm9430096,ACj121
nm9430097,ACj121
nm9428302,ACj121
nm9430098,ACj121
nm9423486,ACj122
nm9430099,ACj122
nm9426791,ACj122
nm9430100,ACj122
nm9430101,ACj123
nm9423828,ACj123
nm9427333,ACj124
nm9428707,ACj124
nm9430102,ACj124
nm9430103,ACj125
nm9425803,ACj125
nm9428459,ACj125
nm9426315,ACj126
nm9423797,ACj126
nm9430104,ACj126
